Price ($M),Sq Feet (000),Bathrooms,Lot Size (000 sq ft),Median Income ($M),Fireplace?, 
531,6.4,4,16,288,yes,
489,3.2,2,13,77,no,
256,3.4,2,5,42,yes,
447,5.7,3,13,314,yes,
459,5.9,3,8,82,yes,
452,4.1,3,8,57,yes,
381,6.3,4,9,42,yes,
301,2.4,2,8,179,yes,
183,2.9,2,9,75,yes,
228,2.8,2,7,68,no,
388,3.7,2,9,238,yes,
380,4.9,3,9,32,no,
472,5.9,3,10,535,yes,
233,3.1,2,4,32,yes,
826,12.8,7,17,483,yes,
400,5.5,3,10,294,yes,
120,4.1,3,7,98,yes,
275,4.5,2,7,212,yes,
141,2.4,2,8,68,no,
523,9.6,4,11,425,yes,
172,2.3,1,1,56,no,
321,3.5,1,9,152,yes,
259,3.3,2,4,36,no,
198,2.2,2,5,108,no,
317,6.1,4,6,58,yes,
288,4,3,3,133,no,
284,5.4,2,6,161,no,
281,4.6,3,9,74,yes,
243,2.6,2,7,36,no,
111,2.2,1,3,133,yes,
265,4.4,3,11,63,yes,
214,2.1,2,6,84,no,
121,2.3,1,9,76,yes,
381,5.1,2,5,310,yes,
258,3.3,2,5,145,yes,
209,3.7,1,8,99,yes,
294,4.7,3,6,259,yes,
270,2.8,2,8,62,no,
202,2.3,2,6,163,no,
485,5.2,2,9,134,yes,
344,4.9,3,10,453,yes,
356,2.4,2,9,153,no,
274,2.5,2,6,39,yes,
397,4.1,2,8,50,yes,
203,2.1,2,8,98,no,
298,3,2,7,338,no,
408,6.5,4,13,71,yes,
262,3.1,2,8,80,yes,
502,4.6,2,7,146,yes,
465,5.8,3,7,61,no,
396,5.2,2,10,219,no,
201,3.5,1,9,110,no,
452,4.4,3,6,401,yes,
365,3.4,2,8,131,yes,
158,4.3,2,5,36,yes,
397,2.7,2,2,57,no,
192,3.5,2,2,97,no,
298,5.7,3,11,85,yes,
309,3.6,2,10,200,no,
427,6.2,2,8,320,yes,
345,4,3,11,147,no,
237,2.1,2,5,41,no,
369,2.7,2,5,170,no,
202,3.2,2,3,334,no,
354,3.9,2,7,53,yes,
186,4.2,2,8,102,yes,
346,3.2,1,5,268,no,
358,2.9,2,5,58,yes,
556,7.1,2,14,479,yes,
143,2.3,2,6,43,no,
432,3.8,2,8,43,no,
378,3.6,2,7,110,no,
207,3.1,2,3,39,yes,
332,4.4,3,1,312,no,
382,4.1,3,8,414,no,
254,3.2,1,9,53,yes,
324,4.6,2,8,57,no,
337,3.7,2,4,263,no,
265,2.9,1,1,173,no,
371,6.1,4,9,121,yes,
265,2.2,1,6,44,no,
285,4.6,3,7,224,yes,
247,3.6,2,4,254,no,
358,2.3,2,11,93,no,
279,3.3,1,6,80,no,
416,6.5,4,14,268,yes,
282,2.2,2,6,64,no,
423,3.9,2,7,195,no,
467,4,2,9,145,no,
335,3.2,2,7,387,no,
316,5.2,1,13,112,yes,
136,2.9,2,3,59,no,
319,3.6,2,8,184,no,
309,2.9,1,11,128,yes,
353,2.5,2,9,59,no,
277,2.2,2,7,232,no,
347,3.1,2,4,214,no,
216,4.7,2,9,43,yes,
347,4,3,8,37,yes,
200,3.7,1,7,31,yes,
346,3.4,2,14,102,no,
351,3.3,2,8,118,no,
392,8.3,3,9,54,yes,
156,2.6,2,6,79,no,
192,2.8,1,7,63,no,
477,7.3,4,10,165,yes,
208,2.2,2,4,86,no,
371,2.9,2,9,141,yes,
258,2.4,2,10,136,yes,
172,3.8,2,7,60,no,
452,5,3,10,363,yes,
260,2.3,2,6,67,no,
197,3.3,2,9,41,no,
650,10,4,21,104,yes,
409,4.9,2,8,101,yes,
174,2.7,2,8,86,yes,
243,2.9,2,7,253,no,
155,3.3,2,14,38,yes,
380,4.6,3,6,191,yes,
474,4.3,1,9,154,yes,
395,4.7,3,16,233,no,
286,2.5,2,8,35,no,
232,3,2,8,69,no,
522,6.3,3,13,35,yes,
235,2.1,2,9,74,no,
377,4.4,3,6,188,no,
196,3.2,2,12,115,yes,
286,3.5,2,6,43,yes,
432,4.2,3,4,184,yes,
285,2.8,2,10,222,no,
392,2.9,2,7,92,yes,
510,5.6,3,8,475,yes,
77,2.9,2,2,55,no,
281,2.7,1,9,84,yes,
329,4.9,3,7,35,yes,
420,2.5,2,7,98,no,
250,3.5,2,9,194,no,
438,4.8,3,9,214,yes,
213,2.8,2,3,35,no,
429,4.1,3,3,469,no,
364,4.7,2,7,188,yes,
332,2.5,2,6,226,no,
315,3.2,2,6,177,no,
679,9.1,4,13,608,yes,
345,5.2,3,6,336,yes,
149,2.7,2,12,71,no,
345,5.3,2,9,66,no,
484,7.9,2,13,668,yes,
350,4.5,3,7,139,no,
239,4,2,6,289,yes,
